timestamp,frontend_cpu,frontend_mem,frontend_net_rx,frontend_net_tx,cartservice_cpu,cartservice_mem,cartservice_net_rx,cartservice_net_tx,checkoutservice_cpu,checkoutservice_mem,checkoutservice_net_rx,checkoutservice_net_tx,productcatalogservice_cpu,productcatalogservice_mem,productcatalogservice_net_rx,productcatalogservice_net_tx,recommendationservice_cpu,recommendationservice_mem,recommendationservice_net_rx,recommendationservice_net_tx,paymentservice_cpu,paymentservice_mem,paymentservice_net_rx,paymentservice_net_tx,currencyservice_cpu,currencyservice_mem,currencyservice_net_rx,currencyservice_net_tx,shippingservice_cpu,shippingservice_mem,shippingservice_net_rx,shippingservice_net_tx,emailservice_cpu,emailservice_mem,emailservice_net_rx,emailservice_net_tx,adservice_cpu,adservice_mem,adservice_net_rx,adservice_net_tx,redis-cart_cpu,redis-cart_mem,redis-cart_net_rx,redis-cart_net_tx
2026-06-06 18:20:56,0.016541035191369586,18223104,,,0.005645288788958199,62271488,,,0.0009794214307551536,12570624,,,0.007330583795599261,11706368,,,0.0041998714827058935,46002176,,,0.0007846698842159094,78090240,,,0.010306754673348064,106156032,,,0.0011305633899705105,11100160,,,0.0015545588960075045,44961792,,,0.0021309243714988523,96030720,,,0.002369045221632935,6311936,,
2026-06-06 18:21:26,0.014496147016250611,18124800,,,0.007970863462356438,62259200,,,0.0014012838912377998,12570624,,,0.009240810733152678,11427840,,,0.005866229624379174,46260224,,,0.0007697739108348131,78495744,,,0.01963339038547433,106139648,,,0.0015619065632684916,11100160,,,0.00172394048748709,44961792,,,0.009181720482634282,95920128,,,0.002749297392039987,6574080,,
2026-06-06 18:21:56,0.025086412892467873,17629184,,,0.010190812652067982,62050304,,,0.0017030198820068862,12201984,,,0.010673161727002063,11395072,,,0.007557739221632675,45928448,,,0.0015095358578018816,78274560,,,0.016179361264388934,105693184,,,0.0017022263035297884,10694656,,,0.002257141759360673,44920832,,,0.008725945417287797,95772672,,,0.0029370917943237853,6311936,,
2026-06-06 18:22:26,0.025760066129808044,17334272,,,0.009257439001777484,61898752,,,0.001798566973743694,12267520,,,0.010837397107320845,11182080,,,0.007551510422471497,45629440,,,0.0013430558315120557,78700544,,,0.020092289064114716,103546880,,,0.0016654846091994674,10670080,,,0.0023023624502950192,44924928,,,0.004605180138384316,95453184,,,0.0030356227156183844,6266880,,
2026-06-06 18:22:56,0.026062413629053517,17833984,,,0.011293240418118595,61906944,,,0.0025483833415792614,12267520,,,0.012487624714662728,11067392,,,0.007627253771617747,45629440,,,0.0009105280111004457,79130624,,,0.013757807285028904,104181760,,,0.0013851118943280615,10670080,,,0.002213531837562091,44924928,,,0.0034566217287866565,95461376,,,0.0030351456232998726,6262784,,
2026-06-06 18:23:26,0.13578475361348363,23633920,,,0.010254190892923998,61870080,,,0.0009267402928389182,12267520,,,0.008965116976614666,11079680,,,0.007325043898156394,45629440,,,0.0007657729104930222,78606336,,,0.015246368671805783,104361984,,,0.0014332547675167098,10670080,,,0.0016759573944366809,44924928,,,0.002968718482093431,95453184,,,0.002776151807364552,6262784,,
2026-06-06 18:23:56,0.1997295649138663,24014848,,,0.008860309551818634,61898752,,,0.0019356562052017185,12267520,,,0.01060600352677073,11362304,,,0.005009104952209904,45633536,,,0.0007755171333053343,79167488,,,0.014391561249973778,104370176,,,0.0013722020697218462,10670080,,,0.002313906442663481,44924928,,,0.0036303183447800097,95453184,,,0.002428165084098043,6262784,,
2026-06-06 18:24:26,0.19985898478336592,24231936,,,0.010614347288011628,61898752,,,0.001267701134437439,12267520,,,0.0118900857331285,11567104,,,0.007802107390300355,45633536,,,0.0005666584826908807,79613952,,,0.013327461310502935,104239104,,,0.0013102927088877374,10670080,,,0.002741061500299526,44924928,,,0.0036810372357410624,95453184,,,0.0032058743198098484,6524928,,
2026-06-06 18:24:56,0.20018741966072967,24375296,,,0.011811575928398498,61878272,,,0.0008784299529575336,12267520,,,0.010526866560427433,11104256,,,0.008201798698812697,45633536,,,0.0009936734283991554,79331328,,,0.014027772084443271,104591360,,,0.001515466138204416,10670080,,,0.001594371564477237,44924928,,,0.0038347049084534813,95453184,,,0.0034631691964381378,6860800,,
2026-06-06 18:25:26,0.1998106645730786,23552000,,,0.006780632591191095,61841408,,,0.0013638137490499407,12513280,,,0.011616252873041005,10919936,,,0.007847431440710283,45637632,,,0.0014024992364857877,79646720,,,0.013200649801273437,104706048,,,0.0014902488593305902,10670080,,,0.0015775835123849904,44924928,,,0.003313211125157924,95453184,,,0.0024565138391310676,6860800,,
2026-06-06 18:25:56,0.19991712591850305,24391680,,,0.008637933858725728,61870080,,,0.0011913468538741465,12513280,,,0.008300615446940747,11280384,,,0.007755507495282108,45645824,,,0.0006476723850766306,80236544,,,0.013036274755577731,105361408,,,0.0017236869342666986,10670080,,,0.0025397318914049615,44929024,,,0.0038835575099151923,95453184,,,0.003340907966964785,6873088,,
2026-06-06 18:26:26,0.19990607369898253,24178688,,,0.008612915496784978,61870080,,,0.0011945448305102299,12619776,,,0.011489518506387119,11067392,,,0.007637671957671627,45645824,,,0.0007649125725097912,79855616,,,0.010496220402289652,105472000,,,0.0010349765665145527,10670080,,,0.0023712476755511315,44924928,,,0.003460107744935133,95453184,,,0.0030566289409861827,6873088,,
2026-06-06 18:26:56,0.20006704582235335,24334336,,,0.007958702344304942,61870080,,,0.0016083223397356447,12623872,,,0.009508777503915496,11362304,,,0.006067189314750454,45645824,,,0.0007770262778577466,80220160,,,0.0246569537429188,105771008,,,0.0015894452673325238,10670080,,,0.0012962224186863843,44924928,,,0.0027672034494897273,95453184,,,0.0026646758370943483,6873088,,
2026-06-06 18:27:26,0.20001179815484466,24662016,,,0.0070347002480115545,61878272,,,0.001157384757878644,12230656,,,0.009658527409531248,11243520,,,0.006404453686854794,45645824,,,0.0008300864829279694,80687104,,,0.025224017957350537,106496000,,,0.0013987687330082996,10670080,,,0.002087460530300021,44924928,,,0.0026357660371216208,95461376,,,0.002651095386061554,7135232,,
2026-06-06 18:27:56,0.15968564143390063,24485888,,,0.006796643985214689,61845504,,,0.0015796108009000468,12300288,,,0.009008866116166388,11104256,,,0.007206844329920841,45907968,,,0.0006963406194122826,80850944,,,0.011985522368591996,106074112,,,0.001798397825206764,10784768,,,0.0021125486090336283,44924928,,,0.002791396293356767,95719424,,,0.002739134745023267,6873088,,
2026-06-06 18:28:26,0.12979811108222938,20340736,,,0.006320834806902513,61841408,,,0.0010399144277839288,12435456,,,0.011776103456717474,11247616,,,0.008335572768469418,45645824,,,0.0007059076169819308,80814080,,,0.012684954627588651,106307584,,,0.0015010573378960357,10809344,,,0.002021316595577187,44924928,,,0.0031686686572605124,95330304,,,0.0031023160363531275,7135232,,
2026-06-06 18:28:56,0.030707376966006967,20496384,,,0.011715371110303428,61878272,,,0.0019890192235639454,12435456,,,0.014685275324353706,11259904,,,0.007562054435913225,45645824,,,0.0008096016774891965,81100800,,,0.015309374095609824,106221568,,,0.001225495041207184,10805248,,,0.0028358320174582357,44924928,,,0.0037615470228157797,95330304,,,0.003406406406406344,6873088,,
2026-06-06 18:29:26,0.03256640650058787,20234240,,,0.013240864655758616,61906944,,,0.0014010481278007305,12435456,,,0.013138455491450119,11182080,,,0.011304541333553075,45645824,,,0.012211192925261795,81334272,,,0.014126357900214374,106844160,,,0.0023432877644562313,10792960,,,0.0028174646082375584,44924928,,,0.004703722917302711,95334400,,,0.004143247068337727,7139328,,
2026-06-06 18:29:56,0.02688093452755368,20332544,,,0.013457598013314451,61882368,,,0.0013106999999999759,12267520,,,0.017805970149254512,11554816,,,0.009807166537833653,45658112,,,0.01468856442111527,81588224,,,0.009932574999999133,106774528,,,0.0018459701303154947,10792960,,,0.0016719999999999402,44924928,,,0.005158313395270796,95465472,,,0.0022838750000001794,6873088,,
